brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating
DELL,Vostro,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,43312,8,4.3
RedmiBook,15,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,38990,51999,25,4.3
HP,Pavilion,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,63510,0,4.6
acer,Aspire,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,38990,52999,26,0
realme,Book,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,46990,54999,14,4.4
ASUS,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,37990,52990,28,4.3
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,37890,51990,27,4.6
Lenovo,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,38990,60890,35,4.2
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,37990,57990,34,4.2
DELL,Vostro,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,41990,54510,22,3.6
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5
Lenovo,IdeaPad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,39990,61590,35,4.3
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,59654,28,4.8
Infinix,INBook,Intel,Core i3,10th,8  GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3
DELL,Vostro,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,36990,40614,8,4.3
Lenovo,Ideapad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,53990,75490,28,4.4
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36990,52990,30,4.4
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,No,38940,48200,19,4.3
DELL,Inspiron,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15,1,No,Yes,39490,55490,28,4.4
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,45990,58990,22,4.5
Lenovo,Ideapad,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,39999,59999,33,5
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,42990,56776,24,4.3
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,No,49990,68658,27,4.2
DELL,Vostro,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41490,55448,25,4.3
DELL,Inspiron,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,41990,57670,27,4.2
Lenovo,Ideapad,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,41990,57290,26,4.4
Infinix,INBook,Intel,Core i3,10th,8  GB,LPDDR4X,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,32990,49999,34,4.3
ASUS,VivoBook,Intel,Core i3,11th,8  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38490,51990,25,3.8
Lenovo,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15,1,No,Yes,38990,51544,24,4.4
Lenovo,ThinkPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,44990,59239,24,4.1
Lenovo,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,36490,53790,32,0
Lenovo,IdeaPad,Intel,Core i3,10th,8  GB,DDR4,256 GB,0 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38970,56590,31,0
HP,IdeaPad,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,44900,51000,11,4.2
MSI,IdeaPad,Intel,Core i3,10th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,38990,53900,27,4.5
DELL,Vostro,Intel,Core i3,11th,4  GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,44427,87136,0,0
